stand,age,plot,status,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
RP73,44,RP73_1,natural,rp73_1.CSV,5.971858021,2.69437146,7.259637565,6.537678093,40,5.7,6.660695646,3.435859165,12.284,7.659675,5.444679861,2.607763163,2,0.05,0.6,19.30778514,3.154966805,3.058426,3.4668109,4.767374703,2.444142203,21.0991071,78.9008929,12.284,506.9,2.825,0.908423988,10.3850216
RP73,44,RP73_2,natural,rp73_2.CSV,6.1399372,2.082579605,4.33713781,6.475147735,40,5.8,5.974778276,2.793765954,12.896,8.525375,5.308414766,2.361915676,1,0.025,0.580357143,15.54244208,2.841560373,2.732759909,2.660141491,5.362003978,2.285789257,15.30650977,84.69349023,12.896,527.025,2.675,0.81247244,9.891635322
RP73,44,RP73_3,natural,rp73_3.CSV,6.917116178,3.553228822,12.62543506,7.760117434,50,6.86,4.793171042,4.218569252,14.553,9.21116,4.679704133,1.985220536,5,0.1,0.63875,22.62875532,3.555519286,3.160227513,4.123218108,6.345588581,3.033052164,24.12240852,75.87759148,14.553,484.4,3.52,0.889134242,11.99497343
RP97,20,RP97_1,natural,rp97_1.CSV,0.86087983,1.490243768,2.220826488,1.704822544,40,0.65,1.781321317,1.188621266,5.631,0.858975,0.230305305,0.155180354,28,0.7,0.914285714,0.014365482,0.054611921,0.106691235,1.477267635,3.627797053,2.636929672,89.18931221,10.81068779,9.163,549.35,1.8,0.955246184,3.692307692
RP97,20,RP97_2,natural,rp97_2.CSV,2.033939644,2.568314833,6.59624108,3.250883807,40,1.75,4.065455011,2.519157368,10.315,2.527575,1.31519828,0.779929032,19,0.475,0.834090909,0.691072752,0.359245475,0.749676891,3.282922353,4.127039446,2.409915539,69.14473684,30.85526316,10.315,532.125,2.175,0.96816292,8.47217806
RP97,20,RP97_3,natural,rp97_3.CSV,3.145219429,3.934685729,15.48175179,4.985789671,30,3.033333333,4.078603099,3.890601703,11.623,3.798766667,1.574082705,0.701295404,15,0.5,0.848717949,7.218395805,0.962661243,2.508321976,4.810991558,6.087123557,3.020356023,74.49764967,25.50235033,11.623,645.4333333,2.2,0.955099377,8.812658228
RPL93,25,RPL01,planted,RPL01-1EW.CSV,7.549510405,1.305228028,1.703620204,7.658729468,40,7.725,6.254604868,1.782931898,11.147,9.283275,6.53668385,3.125055077,0,0,0.372916667,15.0391092,3.292754181,2.048628591,0.877676711,5.860623545,2.245768102,4.354447247,95.64555275,11.147,525.45,1.75,0.606445323,9.057382785
RPL93,25,RPL01,planted,RPL01-2SN.CSV,7.707692003,1.55530007,2.418958308,7.859198456,40,7.625,6.216136757,2.305928813,11.176,9.189625,6.721473823,3.019910364,0,0,0.38125,12.31506321,2.927230378,1.935558193,1.150347499,5.737627748,2.158933365,5.116096025,94.88390397,11.176,508.325,1.9,0.654605772,9.284180613
RPL93,25,RPL02,planted,RPL02-1SN.CSV,7.075575684,1.723388705,2.970068629,7.277333864,40,6.775,6.041791689,2.369545017,10.9,8.554625,4.82682422,2.364324798,0,0,0.497916667,8.266951292,2.349601496,1.6572037,1.376620606,5.708822134,2.141348716,20.08768622,79.91231378,10.9,530.425,1.725,0.787874797,8.925925926
RPL93,25,RPL02,planted,RPL02-2EW.CSV,6.217627271,1.960453366,3.843377401,6.512002906,40,6.05,6.845116855,2.427935706,10.809,7.790625,6.189059335,2.838906973,1,0.025,0.489583333,6.111492186,2.051857561,1.378902729,2.025265145,4.919361994,1.803325772,10.60803317,89.39196683,10.809,518.6,2.15,0.65186177,8.196777277
RPL93,25,RPL03,planted,RPL03-1EW.CSV,7.617020017,1.859295212,3.456978685,7.835148254,40,7.475,6.921207284,2.490880804,11.638,9.360525,6.896163812,3.186483032,0,0,0.4,15.38951487,3.435178424,1.894482531,1.92361228,5.471275046,2.537697937,6.123825584,93.87617442,11.638,519,2.375,0.680347104,9.856622114
RPL93,25,RPL03,planted,RPL03-2SN.CSV,8.378376213,1.060037145,1.123678748,8.443504885,40,8.5,6.530469713,1.535895296,11.766,10.103175,5.668030601,2.395096371,0,0,0.440384615,11.65853352,2.872486318,1.845902455,0.774171315,7.226796406,1.947254056,9.582139682,90.41786032,11.766,506.275,1.725,1.083438806,9.397514149
RPL48,70,RPL10,planted,RPL10-1EW.CSV,14.39647749,4.887422526,23.88689895,15.18381673,40,13.625,6.795397915,6.379805881,22.068,19.017625,5.271359126,2.019054521,0,0,0.633695652,439.2515901,12.46612744,16.84776711,4.454532999,12.55809859,6.326378973,14.79528994,85.20471006,22.068,507.55,2.7,0.763705125,14.65595561
RPL48,70,RPL10,planted,RPL10-2SN.CSV,16.19773476,3.201866518,10.2519492,16.50340152,40,15.8,4.511252174,4.339443424,21.848,18.74475,4.160497716,1.497357642,1,0.025,0.679347826,117.4466343,6.097745872,8.959025034,3.333389318,15.09401355,3.288102684,30.39668556,69.60331444,21.848,525.1,2.65,0.670893323,11.30635312
RPL48,70,RPL11,planted,RPL11-1EW.CSV,9.516119829,4.316656428,18.63352271,10.42709074,40,8.35,6.030514564,6.584947871,21.061,17.119,4.663963467,2.123561375,0,0,0.698863636,749.0767327,22.73063117,15.24451178,3.351597032,7.442680699,5.977045388,23.59896936,76.40103064,21.061,543.475,3.475,0.837205862,13.80479654
RPL48,70,RPL11,planted,RPL11-2SN.CSV,10.85884152,4.876969439,23.78483091,11.8787478,40,9.175,8,6.562861712,21.005,15.623925,6.169625928,2.785432463,0,0,0.65,517.0232245,16.35080621,15.80108732,5.587740231,7.894868404,6.228386868,7.815512383,92.18448762,21.005,505.85,5.15,0.924586784,17.69850746
RPL48,70,RPL12,planted,RPL12-1EW.CSV,14.57325732,4.396867846,19.33244685,15.20621467,40,14.475,7.439437289,5.839685186,21.888,18.02285,6.114267997,2.674476445,0,0,0.645652174,447.8536897,13.72525542,16.10810521,4.741552751,11.60539792,6.038362248,7.971957937,92.02804206,21.888,499.375,3.825,0.801011718,14.88042565
RPL48,70,RPL12,planted,RPL12-2SN.CSV,13.83849807,4.31755693,18.64129785,14.48030711,40,12.125,5.914701351,6.861963164,23.965,18.88405,5.64831561,2.101122736,0,0,0.666,905.7287961,20.48943029,22.04341268,4.172902839,11.5067995,6.630646956,10.80829827,89.19170173,23.965,511.075,3.025,0.732819208,14.52930451
