stand,plot,tag,species,status,dbh17
AC,AC104,1256,ACRU,O,11.5
AC,AC104,1322,PIST,C,18.5
AC,AC104,1253,PIST,O,19.8
AC,AC104,1304,ACRU,O,16.5
AC,AC104,1303,ACRU,C,16.7
AC,AC104,1319,PIST,O,20.1
AC,AC104,1297,PIST,O,20.2
AC,AC104,1320,PIST,O,21
AC,AC104,1254,PIST,O,21.3
AC,AC104,1301,PIST,C,22.2
AC,AC104,1281,PIST,O,22.4
AC,AC104,1325,POGR,D,23.5
AC,AC104,1280,POGR,D,24.3
AC,AC104,1257,POGR,D,24.7
AC,AC104,1271,PIST,C,23.7
AC,AC104,1300,PIST,C,23.9
AC,AC104,1315,POGR,D,25.4
AC,AC104,1302,PIRE,C,28.5
AC,AC104,1267,POGR,D,27
AC,AC104,1278,PIRE,O,29.2
AC,AC104,1305,POGR,D,28
AC,AC104,1296,QURU,O,16.3
AC,AC104,1288,POGR,D,29.8
AC,AC104,1323,POGR,D,29.9
AC,AC104,1317,QURU,O,16.9
AC,AC104,1283,POGR,D,30.1
AC,AC104,1259,POGR,D,30.5
AC,AC104,1273,POGR,D,31.1
AC,AC104,1291,QURU,O,17.9
AC,AC104,1289,POGR,D,31.2
AC,AC104,1309,POGR,D,33.5
AC,AC104,1284,POGR,D,35
AC,AC104,1255,POGR,D,36
AC,AC104,1265,QURU,C,22.7
AC,AC104,1306,POGR,D,37.3
AC,AC104,1263,QURU,C,24.2
AC,AC104,1286,PIST,O,28.5
AC,AC104,1318,QURU,C,28.1
AC,AC104,1328,QURU,D,28.6
AC,AC104,1262,QURU,C,29.1
AC,AC104,1275,QURU,C,35.4
AC,AC104,1295,QURU,D,35.5
AC,AC104,1292,QURU,D,36.4
AC,AC104,1268,QURU,D,37.6
AC,AC104,1279,PIST,O,32.9
AC,AC104,1329,QURU,D,39.4
AC,AC104,1282,PIST,C,33.6
AC,AC104,1313,QURU,D,42.6
AC,AC107,NEW_AC107_1,PIST,,8.4
AC,AC107,1197,PIST,O,8.5
AC,AC107,1204,PIST,O,8.5
AC,AC107,1232,PIST,O,8.5
AC,AC107,1185,PIST,O,9.1
AC,AC107,1189,PIST,O,9.3
AC,AC107,1190,PIST,O,9.5
AC,AC107,1178,PIST,O,9.6
AC,AC107,1167,PIST,O,10.8
AC,AC107,1208,PIST,O,11.1
AC,AC107,1200,PIST,O,11.2
AC,AC107,1165,PIST,O,12.5
AC,AC107,1212,PIRE,O,9
AC,AC107,1242,PIRE,O,12.3
AC,AC107,1164,PIST,O,15
AC,AC107,1201,PIST,C,15
AC,AC107,1205,PIST,O,15.1
AC,AC107,1243,PIST,O,15.4
AC,AC107,1176,PIRE,O,14.5
AC,AC107,1169,PIRE,O,14.6
AC,AC107,1168,PIST,O,16.6
AC,AC107,1236,ACRU,O,8.7
AC,AC107,1174,PIST,O,17.3
AC,AC107,1209,PIST,O,17.3
AC,AC107,1241,ACRU,O,9.1
AC,AC107,1234,ACRU,O,9.5
AC,AC107,1228,ACRU,O,10.2
AC,AC107,1182,ACRU,O,10.7
AC,AC107,1217,ACRU,O,11.1
AC,AC107,1173,PIRE,O,18.2
AC,AC107,1206,PIRE,O,19.1
AC,AC107,1226,ACRU,O,13.6
AC,AC107,1227,ACRU,O,13.6
AC,AC107,1216,ACRU,O,14.1
AC,AC107,1229,PIRE,O,19.9
AC,AC107,1218,ACRU,O,14.9
AC,AC107,1222,POGR,O,18.5
AC,AC107,1233,POGR,C,19.1
AC,AC107,1252,POGR,C,19.7
AC,AC107,1186,POGR,C,20.3
AC,AC107,1237,ACRU,O,20.7
AC,AC107,1224,PIRE,C,24.5
AC,AC107,1183,ACRU,O,22.4
AC,AC107,1163,POGR,C,22.2
AC,AC107,1170,PIRE,O,25.7
AC,AC107,1214,BEPA,C,23
AC,AC107,1221,POGR,C,23.6
AC,AC107,1193,POGR,C,24
AC,AC107,1181,POGR,C,24.5
AC,AC107,1211,POGR,C,24.6
AC,AC107,1246,POGR,C,24.7
AC,AC107,1195,POGR,C,24.9
AC,AC107,1244,POGR,C,25
AC,AC107,1194,POGR,C,26.6
AC,AC107,1247,PIRE,O,29.1
AC,AC107,1177,POGR,C,27.1
AC,AC107,1196,QURU,O,14
AC,AC107,1251,POGR,C,28.3
AC,AC107,1239,POGR,C,28.9
AC,AC107,1238,POGR,C,29.3
AC,AC107,1192,POGR,C,29.8
AC,AC107,1166,POGR,C,30.2
AC,AC107,1172,POGR,C,30.8
AC,AC107,1249,POGR,C,32
AC,AC107,1248,PIRE,O,32.1
AC,AC107,1225,POGR,C,32.3
AC,AC107,1230,POGR,C,32.3
AC,AC107,1179,POGR,C,32.7
AC,AC107,1250,POGR,C,32.7
AC,AC107,1184,POGR,C,34.7
AC,AC107,1215,PIRE,O,33.5
AC,AC107,1191,POGR,C,35.2
AC,AC107,1240,POGR,C,36
AC,AC107,1219,PIRE,C,35.2
AC,AC107,1198,PIRE,C,35.3
AC,AC107,1199,PIRE,D,35.4
AC,AC107,1220,PIRE,D,38.2
AC,AC107,1210,PIRE,D,45.2
BF,BF7,1708,PIST,O,8.3
BF,BF7,1775,PIST,O,8.3
BF,BF7,1769,PIST,O,8.5
BF,BF7,1763,PIST,O,8.9
BF,BF7,1743,PIST,O,9
BF,BF7,1728,PIST,O,9.5
BF,BF7,1584,PIST,O,10.8
BF,BF7,1774,PIST,O,11.1
BF,BF7,1776,PIST,O,11.5
BF,BF7,1587,PIST,O,11.7
BF,BF7,1742,PIST,O,12.2
BF,BF7,1762,PIRE,O,8.2
BF,BF7,1704,PIST,O,12.5
BF,BF7,1727,PIST,O,12.7
BF,BF7,1578,PIST,O,14.7
BF,BF7,1745,PIST,O,15
BF,BF7,1582,PIST,O,15.8
BF,BF7,1770,PIST,O,16.7
BF,BF7,1759,ACRU,O,8
BF,BF7,1597,ACRU,C,8.4
BF,BF7,1714,ACRU,O,8.5
BF,BF7,1746,ACRU,O,8.5
BF,BF7,1717,ACRU,O,8.8
BF,BF7,1697,ACRU,O,10.3
BF,BF7,1700,ACRU,O,10.3
BF,BF7,1699,ACRU,O,11
BF,BF7,1696,ACRU,C,11.1
BF,BF7,1598,ACRU,C,11.6
BF,BF7,1716,ACRU,O,11.9
BF,BF7,1760,ACRU,O,11.9
BF,BF7,1695,ACRU,C,12.1
BF,BF7,1730,PIST,O,18.5
BF,BF7,1709,PIST,O,18.9
BF,BF7,1599,ACRU,O,13.7
BF,BF7,1698,ACRU,C,14.4
BF,BF7,1694,ACRU,C,14.8
BF,BF7,1701,ACRU,C,15.8
BF,BF7,1595,PIST,O,20.8
BF,BF7,1710,PIRE,C,24
BF,BF7,1732,PIST,O,23.9
BF,BF7,1744,QURU,C,12.2
BF,BF7,1712,QURU,O,12.6
BF,BF7,1691,QURU,O,12.9
BF,BF7,1575,QURU,C,14
BF,BF7,1773,QURU,O,14.6
BF,BF7,1586,QURU,O,14.7
BF,BF7,1721,QURU,C,14.9
BF,BF7,1749,QURU,D,15
BF,BF7,1756,QURU,C,15
BF,BF7,1580,QURU,O,15.2
BF,BF7,1733,QURU,C,15.3
BF,BF7,1729,POGR,D,20.5
BF,BF7,1711,QURU,C,15.5
BF,BF7,1758,QURU,O,15.5
BF,BF7,1579,QURU,O,15.6
BF,BF7,1748,QURU,C,15.6
BF,BF7,1734,QURU,C,16.4
BF,BF7,1702,QURU,C,16.7
BF,BF7,1720,QURU,C,16.9
BF,BF7,1751,QURU,D,17
BF,BF7,1724,QURU,C,17.2
BF,BF7,1754,QURU,O,18
BF,BF7,1771,QURU,C,18.9
BF,BF7,1600,QURU,O,19.1
BF,BF7,1752,POGR,D,22.3
BF,BF7,1767,QURU,O,19.3
BF,BF7,1725,QURU,C,19.7
BF,BF7,1738,POGR,D,22.6
BF,BF7,1757,QURU,C,19.8
BF,BF7,1593,QURU,C,20.3
BF,BF7,1753,QURU,C,20.9
BF,BF7,1719,QURU,C,21
BF,BF7,1703,QURU,D,21.2
BF,BF7,1726,QURU,C,21.2
BF,BF7,1723,QURU,C,22
BF,BF7,1736,QURU,D,22
BF,BF7,1772,QURU,C,22.1
BF,BF7,1735,QURU,D,22.9
BF,BF7,1740,QURU,D,22.9
BF,BF7,1761,QURU,D,23.1
BF,BF7,1692,QURU,D,24
BF,BF7,1707,QURU,D,24
BF,BF7,1592,QURU,C,24.2
BF,BF7,1693,QURU,D,24.5
BF,BF7,1768,QURU,D,24.5
BF,BF7,1765,QURU,C,24.6
BF,BF7,1583,QURU,C,25
BF,BF7,1766,QURU,C,25.7
BF,BF7,1705,QURU,C,26
BF,BF7,1574,QURU,C,26.7
BF,BF7,1581,QURU,C,26.7
BF,BF7,1718,QURU,C,29
BF,BF7,1594,QURU,C,29.8
BF,BF7,1591,QURU,C,31.3
BF,BF7,1750,POGR,O,11.4
BF,BF7,1731,POGR,O,12
BF,BF8,1782,PIST,O,9.6
BF,BF8,1823,PIST,O,11.2
BF,BF8,1416,POGR,C,13.7
BF,BF8,1829,PIRE,O,15
BF,BF8,1831,ACRU,O,7.7
BF,BF8,1836,ACRU,O,8
BF,BF8,1839,ACRU,O,8
BF,BF8,1862,ACRU,O,8
BF,BF8,1401,ACRU,O,8.1
BF,BF8,1802,ACRU,O,8.1
BF,BF8,1826,ACRU,O,8.3
BF,BF8,1777,POGR,C,14.7
BF,BF8,1858,ACRU,O,8.5
BF,BF8,1785,ACRU,O,8.6
BF,BF8,1818,ACRU,O,8.6
BF,BF8,1820,ACRU,O,8.7
BF,BF8,1856,PIST,O,17.4
BF,BF8,1414,ACRU,O,9.2
BF,BF8,1800,ACRU,O,9.5
BF,BF8,1801,ACRU,O,9.6
BF,BF8,1779,ACRU,O,9.7
BF,BF8,1803,ACRU,O,9.8
BF,BF8,1830,POGR,C,14.9
BF,BF8,1412,ACRU,O,10
BF,BF8,1859,ACRU,O,10.1
BF,BF8,1860,ACRU,O,10.4
BF,BF8,1835,ACRU,O,10.5
BF,BF8,1819,ACRU,O,10.6
BF,BF8,1863,ACRU,O,10.9
BF,BF8,1413,ACRU,O,11
BF,BF8,1828,POGR,D,15.9
BF,BF8,1809,POGR,D,17.6
BF,BF8,1415,POGR,D,17.9
BF,BF8,1857,POGR,C,18.6
BF,BF8,1408,QURU,O,10.8
BF,BF8,1786,POGR,D,19.3
BF,BF8,1790,QURU,O,13
BF,BF8,1808,QURU,O,13.3
BF,BF8,1797,QURU,C,14.5
BF,BF8,1798,QURU,O,15
BF,BF8,1796,QURU,C,15.2
BF,BF8,1806,QURU,O,15.5
BF,BF8,1778,POGR,D,20.7
BF,BF8,1861,POGR,C,20.7
BF,BF8,1837,QURU,C,16.1
BF,BF8,1815,QURU,O,16.4
BF,BF8,1411,POGR,C,21
BF,BF8,1799,QURU,O,16.9
BF,BF8,1792,QURU,O,17.3
BF,BF8,1406,QURU,O,17.7
BF,BF8,1402,QURU,C,18.9
BF,BF8,1848,QURU,C,18.9
BF,BF8,1824,QURU,C,19.4
BF,BF8,1866,QURU,O,19.4
BF,BF8,1850,QURU,C,19.5
BF,BF8,1794,QURU,C,19.6
BF,BF8,1811,QURU,C,19.6
BF,BF8,1846,QURU,C,20.1
BF,BF8,1853,QURU,C,20.1
BF,BF8,1851,QURU,C,20.2
BF,BF8,1822,QURU,C,20.3
BF,BF8,1417,POGR,C,23.2
BF,BF8,1854,QURU,C,20.9
BF,BF8,1840,QURU,C,21.3
BF,BF8,1410,QURU,C,21.4
BF,BF8,1403,QURU,D,21.5
BF,BF8,1813,QURU,C,21.7
BF,BF8,1409,QURU,C,21.9
BF,BF8,1816,QURU,C,22.2
BF,BF8,1849,QURU,C,22.4
BF,BF8,1807,QURU,D,23.1
BF,BF8,1821,QURU,C,23.3
BF,BF8,1407,POGR,D,25.2
BF,BF8,1855,PIST,C,28.2
BF,BF8,1812,QURU,D,24.6
BF,BF8,1783,QURU,C,24.9
BF,BF8,1793,QURU,D,24.9
BF,BF8,1804,QURU,D,24.9
BF,BF8,1833,QURU,C,25.1
BF,BF8,1843,QURU,C,25.4
BF,BF8,1825,QURU,C,26.1
BF,BF8,1845,QURU,C,26.7
BF,BF8,1852,PIST,D,29.1
BF,BF8,1865,QURU,D,27.1
BF,BF8,1842,QURU,C,28.1
BF,BF8,1841,QURU,C,28.2
BF,BF8,1844,QURU,C,28.9
BF,BF8,1784,QURU,D,38.6
BP36,BP36#1,3618,PIST,O,8
BP36,BP36#1,3552,PIST,O,8.1
BP36,BP36#1,NEW_BP36#1_2,PIST,,8.2
BP36,BP36#1,NEW_BP36#1_1,PIST,,8.3
BP36,BP36#1,3656,PIST,O,8.4
BP36,BP36#1,3611,PIST,O,9.2
BP36,BP36#1,3551,PIST,O,9.3
BP36,BP36#1,3665,PIST,O,9.9
BP36,BP36#1,3572,PIST,O,10
BP36,BP36#1,3597,PIST,O,10
BP36,BP36#1,3577,PIST,O,10.1
BP36,BP36#1,3598,PIST,O,10.1
BP36,BP36#1,3669,PIST,O,10.3
BP36,BP36#1,3645,PIST,O,11.1
BP36,BP36#1,3617,PIST,O,11.8
BP36,BP36#1,3566,POGR,O,12
BP36,BP36#1,3573,PIST,O,12.2
BP36,BP36#1,3562,PIST,O,12.5
BP36,BP36#1,3670,PIST,O,12.9
BP36,BP36#1,3658,PIST,O,13.9
BP36,BP36#1,3655,PIST,O,14.3
BP36,BP36#1,3612,PIST,O,14.5
BP36,BP36#1,3571,PIRE,O,12.1
BP36,BP36#1,3594,PIST,O,15.1
BP36,BP36#1,3601,PIST,O,15.3
BP36,BP36#1,3587,PIRE,O,13.4
BP36,BP36#1,3560,POGR,O,14.4
BP36,BP36#1,3667,PIST,O,16.2
BP36,BP36#1,3614,POGR,C,14.6
BP36,BP36#1,3574,POGR,C,15
BP36,BP36#1,3609,ACRU,O,7.9
BP36,BP36#1,3637,ACRU,O,8.1
BP36,BP36#1,3608,ACRU,O,8.3
BP36,BP36#1,3568,ACRU,O,8.9
BP36,BP36#1,3619,POGR,D,15.4
BP36,BP36#1,3590,ACRU,O,9.4
BP36,BP36#1,3607,ACRU,O,9.4
BP36,BP36#1,3600,ACRU,O,9.6
BP36,BP36#1,3640,ACRU,O,9.9
BP36,BP36#1,3639,ACRU,O,10.3
BP36,BP36#1,3659,ACRU,O,10.5
BP36,BP36#1,3567,ACRU,O,10.7
BP36,BP36#1,3623,ACRU,C,11.1
BP36,BP36#1,3624,POGR,C,16.8
BP36,BP36#1,3663,ACRU,O,13.2
BP36,BP36#1,3638,ACRU,O,14.3
BP36,BP36#1,3630,ACRU,O,14.4
BP36,BP36#1,3615,POGR,C,17.5
BP36,BP36#1,3646,POGR,C,17.7
BP36,BP36#1,3580,POGR,C,17.9
BP36,BP36#1,3569,POGR,C,18.1
BP36,BP36#1,3671,POGR,C,18.1
BP36,BP36#1,3664,ACRU,O,16.4
BP36,BP36#1,3621,ACRU,C,17.6
BP36,BP36#1,3570,POGR,C,19.1
BP36,BP36#1,3554,POGR,C,19.2
BP36,BP36#1,3589,POGR,D,19.3
BP36,BP36#1,3647,PIST,O,20.8
BP36,BP36#1,3558,POGR,C,19.5
BP36,BP36#1,3622,ACRU,C,19.6
BP36,BP36#1,3565,POGR,C,20
BP36,BP36#1,3657,POGR,D,20.7
BP36,BP36#1,3644,POGR,C,20.8
BP36,BP36#1,3550,PIRE,O,24.8
BP36,BP36#1,3649,PIST,O,22
BP36,BP36#1,3581,POGR,C,21.5
BP36,BP36#1,3582,POGR,C,21.6
BP36,BP36#1,3579,POGR,C,21.8
BP36,BP36#1,3650,POGR,O,21.8
BP36,BP36#1,3578,POGR,C,21.9
BP36,BP36#1,3564,POGR,C,22.1
BP36,BP36#1,3610,POGR,C,22.2
BP36,BP36#1,3626,POGR,C,22.3
BP36,BP36#1,3661,POGR,C,22.6
BP36,BP36#1,3625,POGR,D,23
BP36,BP36#1,3636,PIRE,O,26.2
BP36,BP36#1,3642,POGR,C,23.1
BP36,BP36#1,3559,POGR,C,23.2
BP36,BP36#1,3629,POGR,D,23.4
BP36,BP36#1,3561,POGR,C,24
BP36,BP36#1,3666,POGR,D,24
BP36,BP36#1,3668,POGR,D,24
BP36,BP36#1,3575,POGR,C,24.1
BP36,BP36#1,3563,PIST,O,23.6
BP36,BP36#1,3555,POGR,C,25
BP36,BP36#1,3632,POGR,D,25.3
BP36,BP36#1,3627,POGR,C,25.4
BP36,BP36#1,3651,POGR,D,25.6
BP36,BP36#1,3583,POGR,C,25.8
BP36,BP36#1,3584,POGR,C,26.1
BP36,BP36#1,3556,POGR,C,26.2
BP36,BP36#1,3595,POGR,D,26.6
BP36,BP36#1,3628,POGR,C,27.2
BP36,BP36#1,3585,POGR,D,27.6
BP36,BP36#1,3599,PIST,C,24.8
BP36,BP36#1,3576,POGR,C,28.2
BP36,BP36#1,3631,POGR,C,28.2
BP36,BP36#1,3605,POGR,C,28.3
BP36,BP36#1,3635,POGR,C,28.7
BP36,BP36#1,3553,POGR,D,28.8
BP36,BP36#1,3603,POGR,D,29.1
BP36,BP36#1,3662,POGR,C,29.9
BP36,BP36#1,3653,POGR,D,30.8
BP36,BP36#1,3596,POGR,D,31.1
BP36,BP36#1,3604,POGR,D,34.8
BP36,BP36#1,3616,QURU,C,33.6
BP36,BP36#2,3679,PIST,O,8.4
BP36,BP36#2,3729,PIST,O,8.5
BP36,BP36#2,3706,PIST,O,8.6
BP36,BP36#2,3699,PIST,O,8.9
BP36,BP36#2,3740,PIST,O,8.9
BP36,BP36#2,3777,PIST,O,9
BP36,BP36#2,3725,PIST,O,9.1
BP36,BP36#2,3690,PIST,O,9.4
BP36,BP36#2,3719,PIST,O,9.6
BP36,BP36#2,3784,PIST,O,9.7
BP36,BP36#2,3698,PIST,O,10
BP36,BP36#2,3785,PIST,O,10
BP36,BP36#2,3680,PIST,O,10.1
BP36,BP36#2,3737,PIST,O,10.4
BP36,BP36#2,3731,PIST,O,10.6
BP36,BP36#2,3704,PIST,O,10.9
BP36,BP36#2,2279,POGR,O,11.7
BP36,BP36#2,3692,PIST,O,11.1
BP36,BP36#2,3738,PIST,O,11.2
BP36,BP36#2,3684,PIST,O,11.9
BP36,BP36#2,3728,PIST,O,12.1
BP36,BP36#2,3765,PIST,O,12.2
BP36,BP36#2,3751,PIRE,O,8.1
BP36,BP36#2,3736,PIST,O,13
BP36,BP36#2,2289,PIST,O,13.1
BP36,BP36#2,3691,PIST,O,13.4
BP36,BP36#2,3727,PIST,O,13.7
BP36,BP36#2,3788,PIST,O,13.9
BP36,BP36#2,3735,PIST,O,14.3
BP36,BP36#2,3796,PIST,O,14.3
BP36,BP36#2,3711,PIST,O,14.6
BP36,BP36#2,3768,PIST,O,14.9
BP36,BP36#2,2292,POGR,C,13.8
BP36,BP36#2,3769,POGR,C,13.9
BP36,BP36#2,3767,POGR,O,14.2
BP36,BP36#2,3746,PIST,O,15.9
BP36,BP36#2,3759,PIST,O,16.1
BP36,BP36#2,3763,PIST,O,16.4
BP36,BP36#2,3747,POGR,D,14.7
BP36,BP36#2,3689,PIST,O,16.7
BP36,BP36#2,3721,PIST,O,16.8
BP36,BP36#2,3720,POGR,C,15
BP36,BP36#2,3760,ACRU,O,8.2
BP36,BP36#2,3743,POGR,C,15.2
BP36,BP36#2,3702,ACRU,O,8.3
BP36,BP36#2,3794,PIST,O,17.4
BP36,BP36#2,2291,ACRU,O,9.2
BP36,BP36#2,3749,PIST,O,17.6
BP36,BP36#2,3705,BEPA,C,15.7
BP36,BP36#2,3776,POGR,C,15.7
BP36,BP36#2,3798,PIST,O,17.7
BP36,BP36#2,3693,ACRU,O,10.1
BP36,BP36#2,3712,PIST,O,17.8
BP36,BP36#2,3675,POGR,D,15.9
BP36,BP36#2,3673,PIST,O,17.96
BP36,BP36#2,2272,POGR,C,16
BP36,BP36#2,3779,ACRU,C,11.1
BP36,BP36#2,2293,ACRU,O,11.2
BP36,BP36#2,3677,ACRU,O,11.3
BP36,BP36#2,3766,POGR,C,16.2
BP36,BP36#2,3683,ACRU,C,11.8
BP36,BP36#2,3730,POGR,D,16.4
BP36,BP36#2,3734,POGR,C,16.4
BP36,BP36#2,3756,ACRU,C,12.2
BP36,BP36#2,3745,PIST,O,18.5
BP36,BP36#2,3764,POGR,C,16.6
BP36,BP36#2,3773,PIST,O,18.6
BP36,BP36#2,3676,ACRU,O,12.8
BP36,BP36#2,3772,ACRU,C,13.2
BP36,BP36#2,3762,PIST,O,18.9
BP36,BP36#2,2274,POGR,C,17
BP36,BP36#2,3722,POGR,C,17.1
BP36,BP36#2,3770,ACRU,C,14.1
BP36,BP36#2,3757,ACRU,C,14.5
BP36,BP36#2,3771,ACRU,C,14.8
BP36,BP36#2,3732,POGR,O,17.5
BP36,BP36#2,3694,POGR,C,17.9
BP36,BP36#2,3754,POGR,O,18.4
BP36,BP36#2,2269,POGR,C,18.6
BP36,BP36#2,3797,POGR,C,18.7
BP36,BP36#2,3681,PIST,O,20.3
BP36,BP36#2,2273,POGR,C,18.9
BP36,BP36#2,3678,POGR,C,19.2
BP36,BP36#2,3800,POGR,C,19.3
BP36,BP36#2,2263,POGR,C,19.5
BP36,BP36#2,3778,ACRU,C,19.4
BP36,BP36#2,3715,POGR,C,19.9
BP36,BP36#2,3672,POGR,C,20.1
BP36,BP36#2,3781,POGR,C,20.3
BP36,BP36#2,3707,POGR,C,21
BP36,BP36#2,3787,POGR,C,21.1
BP36,BP36#2,3695,POGR,C,21.2
BP36,BP36#2,3790,POGR,C,21.2
BP36,BP36#2,3714,POGR,C,21.4
BP36,BP36#2,3792,POGR,C,21.7
BP36,BP36#2,3701,POGR,D,22
BP36,BP36#2,3700,POGR,D,22.6
BP36,BP36#2,3688,POGR,D,23.1
BP36,BP36#2,3723,POGR,C,23.1
BP36,BP36#2,3750,PIST,C,22.9
BP36,BP36#2,3739,POGR,C,23.7
BP36,BP36#2,3761,POGR,C,23.9
BP36,BP36#2,3744,POGR,D,24.3
BP36,BP36#2,3793,POGR,C,24.3
BP36,BP36#2,3758,POGR,D,24.6
BP36,BP36#2,3687,POGR,C,24.7
BP36,BP36#2,3755,POGR,C,24.7
BP36,BP36#2,3713,POGR,C,25.3
BP36,BP36#2,3782,POGR,C,25.4
BP36,BP36#2,3708,POGR,C,26.2
BP36,BP36#2,3724,POGR,D,26.2
BP36,BP36#2,3774,POGR,C,26.5
BP36,BP36#2,3783,POGR,C,26.8
BP36,BP36#2,3717,QURU,C,14.4
BP36,BP36#2,3753,POGR,D,28.1
BP36,BP36#2,3686,POGR,C,28.3
BP36,BP36#2,3742,POGR,D,28.4
BP36,BP36#2,3795,POGR,D,28.6
BP36,BP36#2,3696,POGR,C,28.7
BP36,BP36#2,3733,POGR,D,28.7
BP36,BP36#2,2294,POGR,D,29.2
BP36,BP36#2,3697,POGR,C,29.2
BP36,BP36#2,NEW_BP36#2_1,POGR,,29.6
BP36,BP36#2,3710,POGR,D,30.8
BP36,BP36#2,3685,QURU,C,19.7
BP36,BP36#2,3718,QURU,C,23.5
BP54,BP54#1,2026,POGR,C,12.5
BP54,BP54#1,3079,POGR,C,12.5
BP54,BP54#1,3086,POGR,C,12.5
BP54,BP54#1,2510,POGR,C,12.7
BP54,BP54#1,3332,POGR,C,12.7
BP54,BP54#1,NEW_BP54#1_3,PIST,,8.1
BP54,BP54#1,3341,PIST,O,9.3
BP54,BP54#1,2013,POGR,C,12.9
BP54,BP54#1,3071,PIST,O,9.6
BP54,BP54#1,3294,PIST,O,9.6
BP54,BP54#1,2020,POGR,C,13
BP54,BP54#1,3257,POGR,C,13
BP54,BP54#1,3096,PIST,O,10.2
BP54,BP54#1,2009,PIST,O,10.7
BP54,BP54#1,3271,POGR,C,13.1
BP54,BP54#1,3278,PIST,O,10.9
BP54,BP54#1,2513,PIST,O,11.8
BP54,BP54#1,3299,PIST,O,11.9
BP54,BP54#1,3058,PIST,O,12
BP54,BP54#1,3292,PIST,O,12.3
BP54,BP54#1,NEW_BP54#1_2,PIRE,,8.2
BP54,BP54#1,3284,PIST,O,12.4
BP54,BP54#1,2519,POGR,C,13.4
BP54,BP54#1,2509,PIST,O,12.6
BP54,BP54#1,3270,PIST,O,12.7
BP54,BP54#1,3345,PIST,O,12.7
BP54,BP54#1,3291,POGR,C,13.5
BP54,BP54#1,3262,POGR,C,13.6
BP54,BP54#1,3268,POGR,C,13.6
BP54,BP54#1,3276,POGR,C,13.7
BP54,BP54#1,3261,PIST,O,14.3
BP54,BP54#1,3077,PIRE,O,12.1
BP54,BP54#1,3065,PIST,O,14.9
BP54,BP54#1,2027,POGR,C,14
