plot,tag,species,azimuth,distance_m,status,dbh18,dbh17,growth5mm
BS42B,2736,PIRE,115,12.5,C,24,24.8,3.362
BS42B,2739,PIRE,60,5,C,37,35.3,2.202
BS42B,2747,PIRE,100,17,C,18.5,16.7,1.662
BS42B,2759,PIRE,335,13,C,41,40.6,2.379
BS42B,2761,PIRE,10,15.5,C,30.5,30.2,3.979
BS42B,2790,PIRE,250,17,C,34.5,33.5,1.135
BS42B,2797,PIRE,250,1,C,34.5,32.6,
BS42C,1088,PIRE,350,8.5,C,25.8,26.5,0.741
BS42C,1110,PIRE,246,17.5,C,41.6,40.6,1.753
BS42C,1112,PIRE,239,7,C,17.1,16.5,
BS42C,1116,PIRE,216,18,C,39.7,40.5,1.37
BS42C,1122,PIRE,177,7,C,24,24.4,1.217
BS42C,1126,PIRE,161,9,C,33.8,33.7,2.625
BS42C,1131,PIRE,141,14.5,C,34,35.4,2.307
BS42C,1133,PIRE,112,4,C,31.1,31.1,1.377
BS42C,1138,PIRE,109,14.5,O,14.7,15,0.591
BS42C,1161,PIRE,0,17,C,27.8,29.5,3.06
PSA1,3940,PIRE,220,6,C,27.1,26.8,6.664
PSA1,3955,PIRE,165,16.5,C,20.1,27.3,4.039
PSA2,2675,PIRE,100,13.5,C,23.2,23.4,5.117
PSA2,2841,PIRE,65,18,C,9.4,28.5,3.468
PSA3,1569,PIRE,0,9,O,11.6,11.8,2.519
PSA3,1681,PIRE,120,14.5,C,21.1,21.1,
RP97_1,,PIRE,,,C,,8.2,23.515
RP97_1,,PIRE,,,C,,9.5,23.694
RP97_1,,PIRE,,,I,,9.5,16.722
RP97_1,,PIRE,,,C,,11.4,24.116
RP97_1,,PIRE,,,C,,9.6,21.607
RP97_1,,PIRE,,,I,,17.9,15.883
RP97_1,,PIRE,,,C,,21.8,17.166
RP97_1,,PIRE,,,C,,15.5,15.683
RP97_2,,PIRE,,,D,,22.3,25.731
RP97_2,,PIRE,,,C,,20.2,23.039
RP97_2,,PIRE,,,C,,19.6,18.756
RP97_2,,PIRE,,,C,,17.4,21.276
RP97_2,,PIRE,,,C,,14.6,24.984
RP97_2,,PIRE,,,I,,12.9,19.325
RP97_2,,PIRE,,,C,,12.4,16.9
RP97_2,,PIRE,,,C,,11.8,16.427
RP97_3,,PIRE,,,C,,13.1,24.845
RP97_3,,PIRE,,,I,,10.3,24.015
RP97_3,,PIRE,,,I,,9.1,23.156
RP97_3,,PIRE,,,I,,9.5,24.523
RP97_3,,PIRE,,,I,,8.9,16.722
RP73_1,,PIRE,,,C,,21,3.706
RP73_1,,PIRE,,,C,,38.4,5.806
RP73_1,,PIRE,,,C,,38,5.297
RP73_1,,PIRE,,,C,,36.1,6.838
RP73_1,,PIRE,,,C,,35.6,4.193
RP73_1,,PIRE,,,C,,33.6,6.945
RP73_1,,PIRE,,,C,,19,11.395
RP73_1,,PIRE,,,I,,11.5,12.019
RP73_1,,PIRE,,,I,,10,6.929
RP73_2,,PIRE,,,C,,35.2,5.819
RP73_2,,PIRE,,,C,,38.5,8.872
RP73_2,,PIRE,,,C,,38.6,7.25
RP73_2,,PIRE,,,C,,36.2,6.86
RP73_2,,PIRE,,,C,,33.6,6.567
RP73_2,,PIRE,,,C,,32,5.063
RP73_2,,PIRE,,,I,,18.4,19.68
RP73_2,,PIRE,,,I,,12.7,10.917
RP73_2,,PIRE,,,I,,11.3,6.746
RP73_2,,PIRE,,,I,,10.3,13.574
RP73_3,,PIRE,,,O,,8.2,10.648
RP73_3,,PIRE,,,I,,14.6,11.968
RP73_3,,PIRE,,,C,,28.3,7.862
RP73_3,,PIRE,,,C,,29.3,4.708
RP73_3,,PIRE,,,C,,29.8,6.399
RP73_3,,PIRE,,,C,,35.9,7.504
RP73_3,,PIRE,,,C,,37.4,8.429
RP73_3,,PIRE,,,C,,32.6,8.744
RP73_3,,PIRE,,,C,,32.9,3.497
RP47_1,,PIRE,,,C,,30,3.544
RP47_1,,PIRE,,,C,,29.5,5.718
RP47_1,,PIRE,,,C,,28.8,2.311
RP47_1,,PIRE,,,C,,26.4,3.196
RP47_1,,PIRE,,,C,,20.8,4.657
RP47_1,,PIRE,,,I,,10.4,1.519
RP47_1,,PIRE,,,I,,13.7,0.701
RP47_1,,PIRE,,,C,,15.4,2.242
RP47_2,,PIRE,,,C,,32.1,3.34
RP47_2,,PIRE,,,C,,27.1,4.337
RP47_2,,PIRE,,,C,,22.7,3.288
RP47_2,,PIRE,,,C,,19.5,4.565
RP47_2,,PIRE,,,C,,18.2,0.955
RP47_2,,PIRE,,,C,,14.4,1.364
RP47_2,,PIRE,,,I,,12.7,0.563
RP47_2,,PIRE,,,I,,13.7,0.56
RP47_3,,PIRE,,,C,,31,3.615
RP47_3,,PIRE,,,C,,22.5,2.527
RP47_3,,PIRE,,,C,,20.8,2.842
RP47_3,,PIRE,,,C,,21.2,2.477
RP47_3,,PIRE,,,C,,13,0.865
RP47_3,,PIRE,,,C,,18.4,0.997
RP47_3,,PIRE,,,I,,10.7,1.638
RP47_3,,PIRE,,,I,,13.2,0.856
RP32_1,,PIRE,,,C,,39.5,4.696
RP32_1,,PIRE,,,C,,26.7,4.702
RP32_1,,PIRE,,,I,,12.7,1.59
RP32_1,,PIRE,,,I,,15.1,0.87
RP32_1,,PIRE,,,I,,18.6,1.988
RP32_1,,PIRE,,,C,,23.6,5.289
RP32_2,,PIRE,,,C,,30.1,3.579
RP32_2,,PIRE,,,C,,38.5,4.986
RP32_2,,PIRE,,,I,,14,0.752
RP32_2,,PIRE,,,I,,13.9,2.197
RP32_2,,PIRE,,,C,,23.6,1.685
RP32_2,,PIRE,,,C,,26.9,5.622
RP32_3,,PIRE,,,C,,42,2.233
RP32_3,,PIRE,,,C,,28.5,1.765
RP32_3,,PIRE,,,C,,22.7,1.745
RP32_3,,PIRE,,,I,,13.8,1.798
RP32_3,,PIRE,,,I,,13.7,1.708
RP32_3,,PIRE,,,I,,20.2,1.183
AC103,1365,PIST,155,9,C,17.2,17.6,5.076
AC103,1378,PIST,111,16.5,O,9.1,9.9,6.485
AC104,1301,PIST,117,17.5,C,20.5,22.2,13.604
AC104,1282,PIST,225,16.5,C,32,33.6,12.83
AC104,1261,PIST,312,9,O,14.4,14.3,2.84
AC107,1168,PIST,317,5,O,15.9,16.6,7.887
AC107,1174,PIST,317,13.5,O,16,17.3,2.18
BF7,1584,PIST,350,13.5,O,10.9,10.8,2.259
BF7,1730,PIST,130,10.5,O,17.9,18.5,2.655
BF8,1782,PIST,340,17.5,O,9.3,9.6,3.575
BF8,1852,PIST,90,18,D,27.6,29.1,8.477
BP36#1,3551,PIST,345,16.5,O,8.8,9.3,3.246
BP36#1,3649,PIST,325,11,O,21.2,22,8.006
BP36#2,3681,PIST,295,18,O,20.6,20.3,5.991
BP36#2,3725,PIST,215,11,O,8.9,9.1,1.485
BP54#1,3255,PIST,152,18,C,29.1,30.9,15.008
BP54#1,3270,PIST,124,10.5,O,11.4,12.7,5.981
BS40F,1031,PIST,280,12,O,20.1,19.8,1.749
BS40F,1040,PIST,225,8,O,13.6,13,1.593
BS40X,2969,PIST,278,1.5,O,9.8,9.1,1.542
BS40X,2994,PIST,340,6.5,D,49,52.1,6.733
BS42A,820,PIST,280,12,C,46.3,46,4.518
BS42A,3168,PIST,240,17,O,18.2,17.2,
DNR1,2351,PIST,55,16.5,C,15,15.1,8.682
DNR1,2427,PIST,150,16.5,D,32.8,32.9,16.583
DNR3,2213,PIST,293,16.5,D,20.3,21.8,11.867
DNR3,2229,PIST,320,6,C,14.9,16.2,10.105
PSA1,3468,PIST,270,14,C,23.1,23.4,5.428
PSA1,3488,PIST,323,15,O,11.8,11.9,1.715
RP97_2,,PIST,,,D,,34.2,23.201
RP32_2,,PIST,,,I,,18.7,3.622
RP32_2,,PIST,,,I,,13.3,0.479
RP32_3,,PIST,,,C,,28.2,3.702
RP32_3,,PIST,,,I,,11.9,2.678
RP73_3,,PISY,,,C,,19.7,9.409
RP73_3,,PISY,,,C,,34.4,13.721
AC103,1337,POGR,354,6,D,35.5,36.3,4.734
AC103,1383,POGR,80,5.5,D,39.3,40.3,5.024
AC103,1399,POGR,9,4,D,23.3,24.1,2.254
AC104,1315,POGR,50,3,D,24.1,25.4,4.198
AC104,1306,POGR,88,16.5,D,36.5,37.3,2.833
AC104,1284,POGR,210,6,D,34.8,35,2.958
AC104,1267,POGR,300,8,D,26.7,27,0.726
AC107,1179,POGR,303,6,C,31.6,32.7,
AC107,1195,POGR,251,13,C,24.2,24.9,
AC107,1230,POGR,70,8.5,C,32.7,32.3,5.6
AC107,1251,POGR,2,9,C,27.6,28.3,3.519
AC107,1252,POGR,355,8.5,C,19.2,19.7,2.14
BF7,1731,POGR,125,14,O,12.1,12,1.148
BF7,1738,POGR,90,14,D,22,22.6,4.874
BF8,1417,POGR,0,15,C,22.5,23.2,9.207
BF8,1830,POGR,170,12,C,15,14.9,1.574
BP36#1,3555,POGR,315,13.5,C,23.6,25,6.876
BP36#1,3574,POGR,255,15,C,15,15,2.89
BP36#1,3584,POGR,210,15,C,25.7,26.1,4.977
BP36#1,3605,POGR,95,17,C,28.8,28.3,6.949
BP36#1,3625,POGR,5,16,D,22.6,23,5.411
BP36#1,3628,POGR,85,10,C,27,27.2,4.154
BP36#1,3646,POGR,255,9.5,C,18.3,17.7,2.627
BP36#2,2269,POGR,0,14,C,19.6,18.6,2.075
BP36#2,3694,POGR,270,14.5,C,17.7,17.9,3.24
